,directions,displacements/A,energies/eV,nuQ/kHz
0,0,-0.5,0.7890267999900971,43.13409623499181
1,0,-0.29730177875068026,0.24522697999782395,53.28246856821039
2,0,-0.1767766952966369,0.08233306999318302,63.873999737879124
3,0,-0.10511205190671431,0.028594189992872998,68.3066667396235
4,0,-0.0625,0.00996775999374222,69.95170239078321
5,0,0.0,0.0,70.86410563621995
6,0,0.0625,0.009939979994669557,69.95188142997125
7,0,0.10511205190671431,0.028547019988764077,68.3075579819386
8,0,0.1767766952966369,0.08225063999998383,63.873945524396106
9,0,0.29730177875068026,0.24507486999209505,53.28212260622905
10,0,0.5,0.7887035999883665,43.13238660071231
11,1,-0.5,0.7794055699923774,-44.51184933746592
12,1,-0.29730177875068026,0.24470517999725416,53.06167621495573
13,1,-0.1767766952966369,0.08232242999656592,63.86818779097667
14,1,-0.10511205190671431,0.028493709993199445,68.30983952116334
15,1,-0.0625,0.009941090000211261,69.95306440716574
16,1,0.0,-1.3000681065022945e-07,70.86307016108016
17,1,0.0625,0.009943489989382215,69.95283994008332
18,1,0.10511205190671431,0.0284978199924808,68.30904604000756
19,1,0.1767766952966369,0.08232997999584768,63.86898320718385
20,1,0.29730177875068026,0.24471980999805965,53.06185872908429
21,1,0.5,0.7794395099917892,-44.51329608307084
22,2,-0.5,2.1651480999862542,239.6978435977187
23,2,-0.29730177875068026,0.7288051599898608,126.15444708140491
24,2,-0.1767766952966369,0.25268287998915184,89.94556698337504
25,2,-0.10511205190671431,0.08867364999605343,77.55914308004535
26,2,-0.0625,0.03128261999518145,73.22504979533055
27,2,0.0,0.0,70.86410563621995
28,2,0.0625,0.03126604999124538,73.22444607643318
29,2,0.10511205190671431,0.08864726999308914,77.55800442543807
30,2,0.1767766952966369,0.2526377899921499,89.94297897235874
31,2,0.29730177875068026,0.7287267399951816,126.14850193093531
32,2,0.5,2.1649970799917355,239.6855968971381
